Density(P/Km2);Birth Rate;Co2-Emissions;CPI;CPI Change (%);Fertility Rate;GDP;Infant mortality;Life expectancy;Maternal mortality ratio;Out of pocket health expenditure;Physicians per thousand;Population;Population: Labor force participation (%);Unemployment rate;
26,337;5,9;37,5775;125,34;2,30%;2,69;7184844193;2,6;72,3;53;6,10%;6,56;38964;62,70%;7,91%;
2;24,13;25,368;195,76;7,30%;2,9;13852850259;14;69,7;45;39,30%;2,86;3225167;59,70%;6,01%;
47;11,73;2,017;116,32;2,60%;1,75;5494736901;2,3;76,8;6;31,80%;2,76;622137;54,40%;14,88%;
83;18,94;61,276;111,07;0,20%;2,42;1,18725E+11;19,2;76,5;70;53,10%;0,73;36910560;45,30%;9,02%;
40;37,52;7,943;182,31;2,80%;4,85;14934159926;54;60,2;289;6,80%;0,08;30366036;78,10%;3,24%;
83;17,55;25,28;168,18;8,80%;2,15;76085852617;36,8;66,9;250;73,90%;0,68;54045420;61,70%;1,58%;
3;28,64;4,228;157,97;3,70%;3,4;12366527719;29;63,4;195;8,30%;0,42;2494530;59,50%;20,27%;
541;20,21;37,5775;125,34;2,30%;2,69;133000000;21,33;72,3;53;33,12%;1,84;10084;62,70%;7,91%;
203;19,89;9,105;188,73;5,60%;1,92;30641380604;26,7;70,5;186;60,40%;0,75;28608710;83,80%;1,41%;
508;9,7;170,78;115,91;2,60%;1,59;9,0907E+11;3,3;81,8;5;12,30%;3,61;17332850;63,60%;3,20%;
18;11,98;34,382;114,24;1,60%;1,71;2,06929E+11;4,7;81,9;9;12,60%;3,59;4841000;69,90%;4,07%;
55;20,64;5,592;162,74;5,40%;2,4;12520915291;15,7;74,3;98;36,00%;0,98;6545502;66,40%;6,84%;
19;46,08;2,017;109,32;-2,50%;6,91;12928145120;48;62;509;52,30%;0,04;23310715;72,00%;0,47%;
226;37,91;120,369;267,51;11,40%;5,39;4,4812E+11;75,7;54,3;917;72,20%;0,38;200963599;52,90%;8,10%;
